word1,word2,mean(remove_extreme_annotator),ano1,ano2,ano3,ano4,ano5,ano6,ano7,ano8,ano9,ano10,mean
文献,書籍ソース,6,6,5,7,6,6,8,3,5,7,5,5.8
要旨,大要,7.6,7,6,9,9,7,7,8,9,8,8,7.8
要因,トリガー,6.6,8,6,9,2,8,9,5,9,9,0,6.5
スローガン,うたい文句,5.8,5,0,9,8,7,9,6,9,7,10,7.0
すべて,一連,8.4,6,10,9,10,7,4,4,7,8,7,7.2
救い,心やり,6,6,2,8,8,6,3,3,7,6,0,4.9
自分自身,自己,9,9,8,9,10,9,9,9,9,9,10,9.1
ひとつながり,一連,8.6,8,10,9,9,7,6,7,9,8,10,8.3
炎天下,酷暑,8.2,6,9,9,9,8,7,9,9,6,7,7.9
基準,傾向,5,5,1,5,7,7,3,6,5,5,0,4.4
群衆,一般市民,7.4,7,7,7,8,8,5,6,8,6,0,6.2
カネ,お金,9.6,10,10,10,9,9,10,10,9,10,10,9.7
道,手段,6,6,0,9,8,7,3,6,8,6,0,5.3
生い立ち,身元,6.2,7,3,9,7,5,7,4,7,7,1,5.7
己,自分自身,8.8,9,7,10,9,9,9,6,9,9,10,8.7
筆頭,ホープ,5.4,6,0,8,7,6,7,5,8,7,0,5.4
資料,専門書,5.8,5,5,7,7,5,5,6,7,6,8,6.1
短所,問題点,7,9,4,8,7,7,6,6,6,7,8,6.8
メインカラー,基調,7.4,6,6,9,8,8,6,6,9,7,0,6.5
僕,私,9.4,10,8,10,10,9,9,9,9,10,8,9.2
経歴,出どころ,5.2,6,1,6,7,6,6,7,7,8,7,6.1
職業,勤め,7.4,8,6,8,9,6,7,8,9,8,9,7.8
トップ,総統,7.8,7,8,9,7,8,8,6,9,8,10,8.0
原因,動因,7.6,9,5,9,9,6,6,9,7,7,10,7.7
宿命,天命,8.6,8,10,9,9,7,8,8,9,9,8,8.5
基礎,骨格,3.2,0,0,9,0,7,8,7,8,0,7,4.6
一般市民,国民,7.6,6,6,10,8,8,9,9,9,8,8,8.1
きっかけ,引き金,9,9,10,9,9,8,9,6,9,9,10,8.8
筆頭,皮きり,5,2,2,9,4,8,7,6,1,2,1,4.2
きっかけ,要因,8.6,8,10,9,8,8,9,7,9,9,0,7.7
構え,体勢,6,6,1,9,7,7,5,6,8,8,3,6.0
資料,典拠,6.2,7,2,9,7,6,7,6,7,7,8,6.6
ト―ン,カラーリング,4.6,7,3,8,1,4,6,3,5,7,8,5.2
正体,実態,6,7,1,9,8,5,6,7,9,7,5,6.4
トップ,頭,7.8,7,8,9,8,7,7,9,9,9,10,8.3
第一番,先頭,8,6,6,10,10,8,6,8,9,8,10,8.1
制服,コスチューム,7.4,7,5,10,7,8,7,9,9,8,10,8.0
道,すべ,8.2,6,10,9,8,8,4,7,8,7,6,7.3
知識,頭脳,6.8,6,6,7,8,7,7,6,7,9,6,6.9
大筋,全容,7.8,7,6,8,9,9,8,6,8,9,8,7.8
トリガー,動因,7.8,9,6,9,8,7,9,7,9,9,0,7.3
幹部,重役,8,7,7,9,8,9,8,7,9,9,8,8.1
資料,書籍,6.6,6,6,8,7,6,6,4,7,4,7,6.1
皆,聴衆,6.8,5,5,8,8,8,6,4,8,8,6,6.6
業種,役回り,7.2,7,7,9,7,6,3,4,8,8,6,6.5
引き金,要因,8.2,8,8,9,8,8,8,4,9,10,8,8.0
川べり,河川敷,7.2,8,6,9,6,7,8,5,9,9,8,7.5
頭,ホープ,5.2,6,0,8,6,6,3,3,5,9,0,4.6
支え,拠り所,7.2,6,6,9,7,8,8,4,9,8,10,7.5
知性,能力,6.2,6,2,8,8,7,6,6,7,5,7,6.2
服,衣,8.4,8,6,10,10,8,8,8,9,8,10,8.5
スタイル,格好,7.4,8,1,10,9,9,6,9,9,9,9,7.9
もの,物,9.8,10,10,10,9,10,10,10,10,10,10,9.9
知恵,頭脳,8,7,7,9,9,8,7,8,9,8,8,8.0
書物,書籍ソース,6.6,6,6,9,8,4,7,7,9,7,9,7.2
手始め,端緒,7.2,8,2,10,8,8,6,6,9,9,9,7.5
始まり,手始め,7.2,8,3,9,8,8,6,8,9,10,10,7.9
寺内,寺社内,6.6,8,9,9,1,6,9,8,9,9,10,7.8
全部,ひとまとまり,8.8,8,10,9,9,8,8,9,9,9,9,8.8
残念,問題,4.8,7,0,8,3,6,3,4,2,5,0,3.8
慰め,心やり,6,7,1,8,9,5,4,5,8,6,9,6.2
はじめ,皮切り,8.4,8,10,9,7,8,5,6,9,8,9,7.9
頭,知的能力,5.8,4,4,8,7,6,4,7,5,5,8,5.8
出身,素性,5.8,6,3,9,3,8,4,7,9,9,9,6.7
内容,議事,5.6,7,4,8,4,5,5,6,0,8,9,5.6
衆人,世間,6.6,7,5,8,5,8,6,5,8,8,9,6.9
筆頭,頭,7,7,3,9,8,8,7,6,8,9,10,7.5
概要,概略,7.2,7,4,9,7,9,8,9,9,10,10,8.2
文献,文物,7.6,6,6,9,10,7,3,9,9,8,8,7.5
方法,術,7.8,8,6,9,9,7,8,9,9,9,10,8.4
モノ,物体,8.6,8,8,10,8,9,8,8,9,9,10,8.7
欠点,ウィークポイント,9.2,9,8,10,10,9,9,10,9,9,9,9.2
基礎,背骨,3.4,2,0,9,1,5,6,6,8,0,5,4.2
術,手口,6.2,8,1,8,7,7,4,6,8,8,5,6.2
元気,気休め,2.4,4,1,0,5,2,3,3,0,4,0,2.2
庶民,聴衆,6.8,7,7,9,7,4,7,6,8,8,2,6.5
身元,身分,7.6,8,6,10,6,8,6,7,9,10,8,7.8
最初,第一番,8,8,6,10,8,8,6,6,9,9,10,8.0
トップ,リーダー,8,7,6,10,9,8,9,7,9,9,10,8.4
頭,賢さ,6.2,4,5,9,9,4,3,8,5,5,8,6.0
やり方,道筋,7,8,2,9,8,8,7,6,8,8,7,7.1
きっかけ,動因,8.6,9,10,9,8,7,8,7,8,9,8,8.3
書籍,文物,7.4,8,5,9,8,7,6,9,9,6,7,7.4
カラー,色合い,7.8,8,8,9,7,7,7,8,7,9,9,7.9
人民,庶民,8,7,7,10,8,8,8,9,9,9,8,8.3
体勢,体位,8,8,6,9,8,9,6,9,9,9,9,8.2
一般人,一般市民,8.8,8,8,10,9,9,7,10,9,10,9,8.9
慰め,慈悲,6.6,7,5,9,6,6,7,8,9,8,7,7.2
能力,知能,6.8,5,4,9,8,8,6,8,7,5,7,6.7
みんな,人民,6.4,5,4,9,6,8,4,9,9,8,8,7.0
ト―ン,色調,7.2,8,8,10,2,8,8,6,9,9,9,7.7
能力,知的能力,6,5,6,9,5,5,6,8,8,5,8,6.5
格好,ユニフォーム,6,3,6,9,5,7,3,6,7,7,7,6.0
始まり,はじめ,8.6,8,10,10,7,8,7,7,9,10,10,8.6
自分,我,8,9,3,10,9,9,9,8,9,10,10,8.6
猛暑,酷暑,8.4,8,8,9,10,7,9,9,8,8,8,8.4
世間,市井,6.6,8,3,9,5,8,4,3,9,7,8,6.4
高級車,大型高級乗用車,6.8,7,8,9,6,4,3,7,8,8,9,6.9
基本,テーマ,5.6,5,5,9,4,5,4,8,0,7,9,5.6
寺社内,構内,5.8,7,2,9,5,6,3,3,0,7,7,4.9
頭,頭脳,7,6,7,9,7,6,5,7,5,5,8,6.5
幹部,基幹人員,8,7,7,9,10,7,5,7,9,6,9,7.6
要因,動因,7.6,9,6,9,8,6,7,6,8,9,10,7.8
自身,自ら,8.2,9,5,9,9,9,9,9,9,6,10,8.4
俺,己,8.4,10,4,10,9,9,9,8,9,10,9,8.7
情報,経歴,3.2,3,0,7,2,4,3,6,5,4,5,3.9
皆,民,5.8,6,2,8,6,7,6,7,9,7,5,6.3
やり方,術,7.6,8,5,8,9,8,9,8,9,8,9,8.1
手段,術,7.4,8,4,8,9,8,8,8,9,8,9,7.9
内容,全容,6.6,5,5,7,8,8,7,9,8,8,8,7.3
はじめ,筆頭,7.4,2,10,9,8,8,6,9,9,9,9,7.9
任務,職分,6.4,7,2,9,7,7,7,7,9,8,10,7.3
皮切り,端緒,7,8,1,10,8,8,3,7,9,9,9,7.2
弱み,欠点,7.4,8,2,10,9,8,9,9,7,8,9,7.9
合言葉,スローガン,7,7,0,10,10,8,7,9,9,9,6,7.5
自分自身,己れ,8.2,9,4,10,9,9,9,8,9,10,10,8.7
骨格,背骨,7.2,6,8,8,8,6,7,7,5,6,6,6.7
最初,一番手,7.4,8,7,9,8,5,7,9,9,7,9,7.8
務め,職務,7.8,8,6,10,8,7,8,6,9,9,8,7.9
手始め,先頭,7,6,5,9,8,7,4,8,9,8,6,7.0
自動車,高級車,5.8,5,6,8,7,3,2,8,5,7,5,5.6
一通り,全行程,7,7,5,9,8,6,5,6,8,9,6,6.9
色合い,カラーリング,8,8,8,10,7,7,6,6,9,9,8,7.8
ひとつながり,一通り,8.2,8,10,9,7,7,4,7,7,9,5,7.3
記事,文献,5.8,5,5,8,7,4,7,7,8,7,5,6.3
上層部,重役,8.2,7,8,9,9,8,6,7,9,9,8,8.0
自分自身,我,8,9,4,10,8,9,9,8,9,10,10,8.6
民衆,市井,7.8,7,6,10,8,8,6,3,9,7,8,7.2
資料,論文,6.6,5,6,9,8,5,4,7,7,4,7,6.2
引き金,引金,9.2,10,8,10,9,9,10,10,10,10,10,9.6
色,カラー,9.4,8,10,10,10,9,10,10,9,10,10,9.6
手段,手法,8.8,8,10,9,9,8,9,9,9,8,10,8.9
衆人,皆,7.6,7,5,9,9,8,6,9,9,8,8,7.8
一般人,民,7.8,8,6,9,8,8,7,9,9,9,8,8.1
ユニフォーム,衣装,7.6,8,6,10,5,9,9,9,8,8,10,8.2
全容,概略,6.8,7,5,9,4,9,7,8,9,6,10,7.4
問題,泣き所,5,7,0,9,5,4,6,6,8,7,6,5.8
考え方,基調,5.2,5,0,7,8,6,5,5,7,6,6,5.5
構え,姿勢,6.8,5,4,9,9,7,7,6,9,9,8,7.3
私,自分自身,8.6,10,5,10,9,9,9,7,9,10,8,8.6
鬼門,難点,6.8,8,2,9,8,7,8,6,8,9,8,7.3
一番手,第一番,7,7,3,9,8,8,7,2,9,9,9,7.1
はじめ,一番,9.2,9,10,10,8,9,8,6,9,10,10,8.9
スイッチ,トリガー,7.4,9,6,8,8,6,7,7,8,9,7,7.5
本,文書,7.4,9,6,9,8,5,9,6,9,9,8,7.8
発端,引き金,8,9,6,9,8,8,8,6,9,9,8,8.0
色,色相,7.8,8,9,9,7,6,6,7,9,7,8,7.6
境内,神社内,6.8,8,5,8,6,7,8,7,9,9,9,7.6
つきもの,定め,6.6,7,10,8,5,3,7,4,8,8,7,6.7
正体,身分,6.4,5,4,9,6,8,7,4,8,9,9,6.9
要人,上層部,7.2,7,5,9,7,8,6,4,8,8,9,7.1
すべ,手口,8.8,8,10,9,8,9,8,3,9,8,9,8.1
職務,業種,7.2,8,6,9,8,5,7,6,7,8,8,7.2
衣装,着物,6.6,8,4,9,7,5,6,7,9,9,10,7.4
庶民,皆,7.2,7,5,9,7,8,6,7,9,8,8,7.4
プロフィール,実態,5,5,0,8,9,3,3,8,8,5,6,5.5
市民,民衆,7.2,7,7,9,5,8,9,9,9,8,8,7.9
ひととおり,全行程,8.6,8,10,9,8,8,6,8,9,9,8,8.3
知能,知的能力,8.4,10,5,8,10,9,9,9,9,10,10,8.9
文書,専門書,6.8,6,5,8,8,7,6,9,8,5,7,6.9
種類,形態,5.2,7,0,8,5,6,6,7,8,5,7,5.9
はじめ,トップ,7.8,6,10,7,9,7,5,8,8,8,10,7.8
衣装,ファッション,8.2,8,6,9,10,8,7,9,9,8,10,8.4
テーマ,ベース,6.4,8,3,6,8,7,6,7,5,7,9,6.6
皆,民衆,7,5,5,9,8,8,6,8,9,8,8,7.4
所在,素姓,6.2,6,6,5,7,7,6,6,8,8,5,6.4
川原,川べり,7.2,8,6,8,7,7,8,7,7,9,9,7.6
体,姿勢,5,6,2,7,5,5,3,9,7,5,8,5.7
第一番,ホープ,4.6,5,0,8,6,4,3,6,8,5,0,4.5
もと,基盤,6.2,8,2,9,8,4,5,6,9,8,9,6.8
人々,皆,7.2,6,5,9,9,7,7,8,9,7,8,7.5
カラー,色調,8.8,8,10,9,9,8,7,8,5,7,10,8.1
知能,頭脳,8.2,8,7,9,9,8,8,9,8,8,8,8.2
ユニフォーム,衣服,7.4,8,5,9,7,8,6,9,8,8,8,7.6
一連,全行程,7,7,2,9,9,8,6,9,8,9,7,7.4
重役,主要人物,6.6,7,8,5,9,4,5,7,8,7,7,6.7
第一番,筆頭,6.8,7,3,9,9,6,6,8,9,8,9,7.4
本,資料,6.2,5,5,8,8,5,4,8,8,4,6,6.1
報酬,給料,8,9,6,10,9,6,8,8,9,7,9,8.1
ひとつながり,一続き,8.4,9,10,9,7,7,8,8,8,8,10,8.4
国民,庶民,8,6,7,10,9,8,8,9,9,6,8,8.0
基幹人員,重役,7.6,6,7,9,8,8,7,7,9,8,8,7.7
服装,衣装,8,8,8,9,9,6,9,9,9,9,10,8.6
カラフル,色相,7.2,8,8,9,8,3,3,9,7,9,7,7.1
謳い文句,売り文句,8.2,8,8,9,9,7,8,9,9,8,10,8.5
全容,あらまし,9,9,10,9,9,8,7,9,9,8,9,8.7
国民,皆,6.6,6,2,9,8,8,6,7,9,7,8,7.0
出身,身元,6.8,8,3,9,6,8,7,8,9,9,9,7.6
賢さ,知的能力,7.8,8,7,9,7,8,6,9,9,8,8,7.9
お金,ギャランティー,8.4,9,9,9,8,7,5,7,9,4,9,7.6
大筋,要点,7.6,8,4,9,9,8,7,6,9,8,8,7.6
長い車,リムジン,7.2,7,5,8,9,7,7,7,8,3,6,6.7
支え,慰め,5.4,8,0,6,6,7,6,8,8,5,6,6.0
衣服,お召し物,7.6,8,5,10,7,8,8,9,9,7,10,8.1
僕,己,8.2,10,4,10,8,9,9,9,9,10,8,8.6
役割,職分,7.6,8,4,10,9,7,8,8,9,7,8,7.8
救い,気休め,5.2,7,5,1,5,8,7,7,7,7,6,6.0
頭脳,知力,7,8,6,9,6,6,7,9,9,8,8,7.6
手始め,トップ,5.4,6,0,8,7,6,6,7,8,6,7,6.1
色合い,傾向,4.2,5,0,4,7,5,7,6,2,4,7,4.7
お金,給料,7.4,6,9,10,7,5,6,7,9,4,8,7.1
色,カラーリング,8,8,10,9,7,6,7,8,7,6,8,7.6
着物,装束,7.6,8,8,9,7,6,5,7,9,7,9,7.5
衣服,衣,7.2,8,5,10,8,5,3,9,9,9,10,7.6
役目,職務,7.4,8,7,9,7,6,7,7,9,6,9,7.5
任務,役回り,8.2,8,8,9,9,7,8,6,9,6,9,7.9
色合い,色合わせ,7.2,7,7,10,8,4,7,9,9,9,8,7.8
始まり,皮切り,6.8,8,2,9,7,8,7,7,8,8,10,7.4
高級車,高級外車,6.8,8,8,9,7,2,3,8,8,8,8,6.9
役目,業種,5.4,7,2,9,7,2,7,8,8,7,8,6.5
書物,読み物,7.8,9,9,10,9,2,9,8,9,9,8,8.2
弱点,難点,5.6,8,2,9,6,3,8,8,9,8,8,6.9
出身,正体,5.6,7,0,10,6,5,6,6,8,8,6,6.2
はじめ,手始め,8.4,8,10,9,7,8,6,6,9,9,9,8.1
標語,謳い文句,5,8,0,7,5,5,5,5,8,7,9,5.9
頭,能力,5.2,3,0,9,7,7,3,6,7,5,7,5.4
着物,衣,7.6,8,5,10,8,7,7,7,9,9,10,8.0
身元,プロフィール,8,6,8,9,9,8,5,6,8,5,8,7.2
キャッチフレーズ,売り言葉,8.4,8,6,10,9,9,8,7,9,8,7,8.1
カネ,報酬,7,5,6,10,7,7,5,8,9,4,8,6.9
おおまか,全容,8.2,8,10,9,6,8,7,8,9,5,9,7.9
難点,泣き所,7,8,2,9,9,7,8,8,8,8,9,7.6
職業,役割,6.2,7,3,9,7,5,3,7,8,7,8,6.4
衆人,人々,7.6,6,7,10,7,8,6,8,9,8,8,7.7
すべ,術,9,8,10,10,9,8,7,7,10,10,10,8.9
ギャラ,ファイトマネー,6.8,8,6,10,7,3,3,5,9,5,8,6.4
惹句,キャチコピー,6.6,8,1,10,9,5,6,7,9,7,9,7.1
職業,任務,6.6,8,1,9,8,7,6,7,8,6,8,6.8
最初,筆頭,6,3,2,9,8,8,7,5,9,6,10,6.7
筆頭,有力者,6.2,7,0,9,7,8,6,6,5,8,8,6.4
内容,テーマ,7.2,6,6,10,7,7,7,5,7,6,8,6.9
服,装束,7.4,8,5,10,8,6,6,6,9,9,9,7.6
身元,実態,5.6,5,2,8,6,7,5,6,8,6,5,5.8
衣服,装束,7.6,8,7,9,7,7,6,6,9,9,9,7.7
色,彩り,8,8,10,9,8,5,7,8,8,7,8,7.8
キャッチフレーズ,惹句,6.6,8,2,10,9,4,6,7,9,7,9,7.1
基準,基調,5.8,7,3,9,7,3,7,9,9,8,8,7.0
猛暑,真夏日,7.4,7,10,9,9,2,7,9,8,8,8,7.7
基本,要点,5,5,1,9,6,4,7,8,8,6,8,6.2
衣装,ドレス,7,6,4,9,7,9,4,7,9,9,8,7.2
文献,読み物,7.2,7,9,9,8,3,6,8,9,6,8,7.3
頭脳,知的能力,8,8,7,9,8,8,7,7,7,9,8,7.8
国民,人々,7.6,6,7,9,8,8,6,8,9,7,8,7.6
基調,ベース,8.6,8,8,10,8,9,8,9,9,10,8,8.7
境内,寺社内,7.4,8,5,9,7,8,8,7,9,9,9,7.9
全て,全部,9.4,8,10,10,10,9,9,10,9,10,10,9.5
自分自身,俺,8.6,10,5,10,9,9,9,8,9,10,8,8.7
素性,身許,8,8,4,10,10,8,7,9,9,8,10,8.3
基本,骨格,3.8,0,0,9,3,7,3,7,9,0,8,4.6
状況,体勢,4.6,4,0,9,7,3,3,6,7,2,8,4.9
うたい文句,謳い文句,9.6,10,10,10,9,9,10,10,10,10,10,9.8
民衆,一般市民,8.2,7,7,10,8,9,9,8,9,7,8,8.2
外車,大型高級車,6.6,7,7,9,5,5,3,7,7,6,8,6.4
元気,救い,2.8,4,0,4,5,1,3,3,0,6,5,3.1
基本的動向,基本,4.2,4,1,8,5,3,4,4,7,4,7,4.7
全て,ひとつながり,7,7,10,7,5,6,4,5,7,8,6,6.5
文書,文物,8,10,8,10,8,4,7,7,9,9,7,7.9
元気,慰め,2.8,4,0,3,5,2,3,6,0,5,5,3.3
宿命,定め,8.8,8,10,10,8,8,8,6,9,8,9,8.4
カラーリング,色調,8.4,8,9,10,7,8,7,8,9,9,9,8.4
頭,知能,6.8,4,5,9,8,8,7,7,5,5,8,6.6
全容,要旨,5.8,4,4,7,7,7,6,8,7,6,8,6.4
川沿い,河原沿い,8,9,6,9,8,8,7,7,8,9,9,8.0
モノ,物,9.8,10,10,10,9,10,10,10,10,10,10,9.9
骨組み,背骨,7,6,6,9,8,6,6,8,8,6,7,7.0
姿勢,現状,3,4,0,5,3,3,3,7,0,4,6,3.5
文献,専門書,6.2,6,6,9,7,3,4,8,8,5,7,6.3
モノ,もの,9.6,10,10,10,8,10,10,10,10,10,10,9.8
中心,基盤,6.4,6,5,9,7,5,5,6,8,7,8,6.6
一番,先頭,6.2,7,0,9,7,8,6,9,9,8,10,7.3
身分,身上,7.6,4,9,8,8,9,6,8,9,8,6,7.5
スタイル,コスチューム,5.2,6,0,8,6,6,3,7,8,7,6,5.7
一番,第一番,9,10,9,10,7,9,8,6,9,10,10,8.8
まとめ,概略,8.8,7,10,10,9,8,8,7,9,9,9,8.6
能力,才能,6.8,7,3,9,8,7,7,7,8,7,9,7.2
皆,大衆,7.2,6,5,10,7,8,6,7,9,7,8,7.3
市民,聴衆,7.8,8,7,9,7,8,6,6,9,7,7,7.4
頭脳,知性,8.4,8,8,9,8,9,7,7,8,9,8,8.1
正体,身上,7.2,6,5,9,7,9,7,7,9,8,9,7.6
おおまか,要点,8.6,8,10,9,8,8,6,5,8,9,7,7.8
役員,幹部,8.2,8,7,8,9,9,8,6,9,8,7,7.9
方法,すべ,9,8,10,10,9,8,9,7,9,8,10,8.8
人々,民衆,8.4,8,7,10,9,8,6,8,9,7,8,8.0
はじめ,最初,9.4,8,10,10,10,9,8,8,9,10,10,9.2
服装,ユニフォーム,7.8,8,5,9,8,9,6,9,8,8,9,7.9
はじめ,皮きり,8.6,8,10,10,8,7,8,7,9,9,10,8.6
能力,知力,6.4,5,3,9,9,6,6,8,7,5,8,6.6
基礎,基調,7.6,9,5,9,8,7,6,9,9,6,9,7.7
基本,もと,8.8,8,10,9,9,8,4,9,9,9,10,8.5
市民,世間,7.8,7,6,9,9,8,5,7,9,7,9,7.6
役目,業務,7,7,4,9,9,6,5,6,8,7,8,6.9
素姓,身分,7.6,6,6,9,9,8,7,7,9,9,8,7.8
国民,民衆,8.2,7,7,10,9,8,8,8,9,6,9,8.1
考え方,要点,4.8,3,1,6,9,5,4,7,0,2,7,4.4
始め,最初,8.6,9,7,10,9,8,7,8,9,10,10,8.7
運命,定め,9,8,10,10,9,8,8,9,9,8,9,8.8
パターン,多様性,6,8,0,7,7,8,7,8,8,7,6,6.6
トップ,ホープ,5,5,0,8,7,5,3,2,8,6,0,4.4
基調,骨組み,3.8,0,0,9,5,5,3,7,8,0,8,4.5
酷暑,厳暑,8,8,8,9,10,5,9,8,8,8,10,8.3
姿勢,形,5,5,0,9,7,4,3,6,8,5,8,5.5
知識,知恵,7.2,6,8,9,8,5,7,7,7,8,8,7.3
始め,手始め,7.6,9,6,9,7,7,7,7,9,10,10,8.1
身元,出どころ,6.2,7,0,9,7,8,6,8,9,7,9,7.0
まとめ,要旨,8.6,8,10,10,8,7,9,9,9,9,9,8.8
最初,先頭,7.4,7,5,9,8,8,7,10,9,9,10,8.2
私,自己,8.6,10,5,10,9,9,9,9,9,10,8,8.8
稼ぎ,ファイトマネー,6.2,7,6,7,6,5,3,6,7,4,7,5.8
おおすじ,概略,8.4,8,10,9,8,7,9,7,9,7,9,8.3
要点,あらまし,8.4,8,10,9,8,7,9,8,9,8,8,8.4
資料,文物,6.6,6,5,9,8,5,7,8,8,4,7,6.7
外車,リムジン,5.8,5,8,9,5,2,2,6,5,5,7,5.4
気休め,慰安,4.2,6,1,2,6,6,3,8,5,6,8,5.1
色とりどり,色彩,8.6,8,10,10,8,7,7,9,9,8,7,8.3
方法,手口,8.6,8,9,9,8,9,8,8,9,8,8,8.4
問題,弱点,6,8,2,8,5,7,3,5,5,7,8,5.8
人,群衆,7.6,8,6,9,7,8,6,9,9,7,7,7.6
上司,役員,6.4,5,6,8,7,6,7,8,7,7,8,6.9
始まり,最初,8.8,8,9,10,9,8,6,10,9,10,10,8.9
弱み,問題点,6.4,8,3,9,6,6,7,8,9,8,8,7.2
残念,弱み,5,7,0,9,3,6,3,8,5,7,7,5.5
欠点,短所,8.6,8,8,10,9,8,9,9,8,8,9,8.6
ベース,基礎,9,9,9,10,9,8,9,10,9,9,10,9.2
市民,人民,8.2,7,7,10,9,8,7,9,9,7,8,8.1
売り文句,うたい文句,8.4,8,8,9,9,8,7,7,8,9,10,8.3
洋服,スタイル,6,6,1,8,8,7,4,5,7,7,9,6.2
本,文献,7.2,6,8,10,8,4,7,8,8,6,8,7.3
メインカラー,地色,8.4,9,9,9,8,7,8,7,8,9,7,8.1
知識,知性,8.2,7,9,9,9,7,7,9,8,8,8,8.1
書物,書籍,9.4,10,9,10,9,9,9,10,9,10,8,9.3
主要,要旨,7.8,8,5,10,9,7,6,6,9,8,8,7.6
術,作戦,7.4,8,3,9,9,8,6,8,8,7,6,7.2
スローガン,標語,6.8,8,0,10,7,9,9,8,9,9,10,7.9
コスチューム,服,7.2,8,4,10,7,7,9,9,8,8,8,7.8
きっかけ,契機,9.6,9,10,10,10,9,7,8,9,8,10,9.0
世間,皆,7.4,7,4,10,8,8,6,9,9,7,8,7.6
筆頭,目玉,4.4,6,1,6,2,7,3,6,4,3,6,4.4
弱み,問題,6.2,8,1,9,6,7,7,8,7,7,7,6.7
モノ,物質,7.8,8,8,10,5,8,8,7,9,8,9,8.0
生い立ち,出どころ,6,7,0,9,6,8,7,5,9,8,8,6.7
境内,寺中,6,8,2,9,7,4,6,7,9,8,8,6.8
読み物,論文,5.8,5,4,9,8,3,3,8,8,6,7,6.1
短所,難点,6,8,2,9,6,5,6,6,8,8,7,6.5
稼ぎ,ギャラ,8.2,8,6,10,9,8,7,8,9,7,8,8.0
役目,役割,8.6,9,7,10,9,8,9,8,9,9,9,8.7
引金,引き鉄,5.6,8,2,9,2,7,9,8,9,9,10,7.3
始め,一番手,6.6,7,3,9,7,7,6,9,8,8,9,7.3
知力,知能,7.6,8,8,9,8,5,7,10,9,9,8,8.1
知能,賢さ,8,8,8,9,9,6,8,9,9,9,8,8.3
制服,衣服,7.4,5,8,9,8,7,6,8,8,7,8,7.4
物体,固体,6.6,6,9,9,8,1,6,9,6,8,8,7.0
弱み,短所,8,9,6,10,7,8,9,10,8,9,8,8.4
考え,基調,5.6,3,2,9,8,6,5,8,0,5,7,5.3
体勢,現状,3.8,3,0,4,7,5,4,7,0,3,8,4.1
コスチューム,衣,7,8,3,10,7,7,3,8,8,8,8,7.0
俺,僕,9.8,10,10,10,10,9,9,10,9,10,9,9.6
プロフィール,身上,7.4,5,7,8,8,9,8,9,8,5,9,7.6
素姓,素性,9,8,8,10,10,9,9,8,9,10,10,9.1
人々,人民,8.4,8,7,10,9,8,6,9,9,8,8,8.2
基調,地色,6.4,6,7,9,2,8,6,8,8,8,7,6.9
作戦,手口,7.4,7,6,8,9,7,8,7,9,7,8,7.6
色,色合わせ,6.2,6,7,7,8,3,5,8,6,7,8,6.5
衣服,格好,5.6,5,4,3,9,7,6,8,6,6,9,6.3
基本,骨組み,6.8,7,7,5,9,6,6,5,8,7,8,6.8
服装,スタイル,5.6,1,6,4,9,8,3,6,7,6,9,5.9
